approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
2:2:2,structure,2,[simulated],3,-0.02685457468032837,-0.03437329332033793,0.24679001569747924,0.23312246799468994,0
2:2:2,structure,2,[simulated],4,-0.021791350096464157,-0.029815240452686947,0.28337303002675374,0.1668015718460083,0
2:2:2,structure,2,[simulated],5,-0.021791350096464157,-0.031579263818760715,0.19295659065246581,0.018017232418060303,0
2:2:2,structure,2,[simulated],6,0.022188717499375343,-0.02248686334739129,0.1777765115102132,0.055284738540649414,0
2:2:2,structure,2,[simulated],7,0.022188717499375343,-0.004060250396529834,0.24111989736557007,0.13940119743347168,0
2:2:2,structure,2,[simulated],0,-0.12130703777074814,-0.1508635568122069,0.20682193438212076,-1.0,0
2:2:2,structure,2,[simulated],1,-0.0977589339017868,-0.1252151901523272,0.2110443115234375,0.09957289695739746,0
2:2:2,structure,2,[simulated],2,-0.07983555644750595,-0.10874172548453014,0.18460347652435302,0.09817320108413696,0
2:2:2,structure,2,[simulated],3,-0.02649552747607231,-0.07794419241448243,0.20725888808568318,0.16517114639282227,0
2:2:2,structure,2,[simulated],4,0.0021167919039726257,-0.035889810572067894,0.2928202470143636,0.2807518243789673,0
2:2:2,structure,2,[simulated],5,0.004846573807299137,-0.0016519588728745778,0.22710391283035278,0.13300353288650513,0
2:2:2,structure,2,[simulated],6,0.01020866073668003,0.0028346547236045203,0.19992196957270306,0.09209823608398438,0
2:2:2,structure,2,[simulated],7,0.03231760114431381,0.00987804758672913,0.1709353764851888,0.09895211458206177,0
2:2:2,structure,2,[simulated],0,-0.11392655968666077,-0.14663981894652048,0.2050203283627828,-1.0,0
2:2:2,structure,2,[simulated],1,-0.08086096495389938,-0.11611831560730934,0.1627798875172933,0.12872719764709473,0
2:2:2,structure,2,[simulated],2,-0.045568592846393585,-0.08041396364569664,0.2762467940648397,0.2292543649673462,0
2:2:2,structure,2,[simulated],3,-0.017483621835708618,-0.047514611234267555,0.2524731715520223,0.1996440291404724,0
2:2:2,structure,2,[simulated],4,-0.017483621835708618,-0.02794104628264904,0.16001163721084594,0.04764002561569214,0
2:2:2,structure,2,[simulated],5,0.025471767410635948,-0.017968010467787583,0.20285212596257526,0.09355902671813965,0
2:2:2,structure,2,[simulated],6,0.06141665577888489,0.011064768768846989,0.20836384296417237,0.1136593222618103,0
2:2:2,structure,2,[simulated],7,0.07235123962163925,0.043058110090593495,0.24121381640434264,0.13141512870788574,0
2:2:2,structure,2,[simulated],0,-0.10728141665458679,-0.11989084134499232,0.2086562434832255,-1.0,0
2:2:2,structure,2,[simulated],1,-0.07633934915065765,-0.10363529250025749,0.24975011348724366,0.22596168518066406,0
2:2:2,structure,2,[simulated],2,-0.05344218760728836,-0.08549851241211097,0.3528338293234507,0.29317718744277954,0
2:2:2,structure,2,[simulated],3,-0.03311534225940704,-0.055747175589203835,0.28957096735636395,0.23638182878494263,0
2:2:2,structure,2,[simulated],4,-0.02483481541275978,-0.04172974700729052,0.26723655859629314,0.15805447101593018,0
2:2:2,structure,2,[simulated],5,-0.017574550583958626,-0.03231682721525431,0.19568440516789753,0.07576286792755127,0
